epoch,loss,val_loss
0,17.2332229764838,11.869804230947343
1,14.169924318092443,11.593489434983995
2,12.510138135882036,10.609325045631046
3,11.493865484690364,10.144227921016633
4,10.74815509619344,9.862025003584604
5,10.23687025337905,9.80553168342227
6,9.862732315818489,9.586017729744079
7,9.627207921358613,9.366035552251907
8,9.291456838026114,9.185725333198668
9,9.119967602039749,9.029436838059198
10,9.122522096006307,8.905092890300448
11,8.943728537561869,8.799221757858518
12,8.879687668996814,8.718752194964697
13,8.803947869649564,8.613859888107058
14,8.70445832100399,8.542393563285707
15,8.575147615414178,8.485399723052979
16,8.507124276674759,8.415007757762123
17,8.38858099186674,8.348829927898588
18,8.34639101092933,8.287343835073804
19,8.351087613289021,8.237796457986983
20,8.362502634613778,8.183587952265663
21,8.217817584771872,8.141924570477197
22,8.158465105453459,8.100059857444158
23,8.185318854585372,8.049408443390377
24,8.108860566241304,8.027111954159206
25,8.04524704884248,7.978796784839933
26,8.007547382944274,7.931523671225896
27,7.884687554260183,7.894262563614618
28,7.968715087230619,7.865084587581574
29,7.867353052387492,7.84042225186787
30,7.868485049172713,7.799331347147624
31,7.771748439128812,7.776519086625841
32,7.788449034171,7.753611882527669
33,7.757701859701472,7.721252766866533
34,7.725663716301909,7.693527176266625
35,7.666580165118721,7.667876122489808
