epoch,loss,val_loss
0,6.046982912013405,4.262027999923546
1,4.374546424556983,4.166433271865198
2,4.0291218150503285,3.856122527481254
3,3.728987353631277,3.5836450870677377
4,3.6693579743500306,3.3959094198651734
5,4.461259327156015,3.3
6,4.0683161673096375,3.2803769361099677
7,3.4447610492003475,3.3002623073129316
8,3.176763857365988,2.935566036512321
9,3.0765600262905624,2.8577581513979333
10,3.1351119969153527,3.0330917777026776
11,2.853951890563902,2.739920707620907
12,2.758997900036139,2.6328170407632125
13,2.6953006767289263,2.8100545697385657
14,3.216090819380318,3.0517370753105326
15,2.797339313927205,2.680814380127812
16,2.775430164401479,4.010995733244952
17,3.7196001893577066,2.842722305802486
18,2.8524165865739213,2.725017490586536
19,2.7168537371839854,2.5564576023303283
20,2.612166077982028,2.5216869978864334
21,2.5662664336816206,2.528848565509798
22,2.6032881334357834,3.8121179011429964
23,2.627754917621691,2.613768101332493
24,2.5527775780623987,2.534430279681857
25,2.6296435119015817,2.58169889307521
26,2.482073431129537,2.504984564726544
27,2.5124138049103553,2.4935369019966904
28,2.458508832848058,2.4219039801524893
29,2.44594590309753,2.779595842751093
30,2.433965500139606,2.4732626921868053
31,2.4736820982757184,2.4151748485926317
32,2.408914261742642,2.92755894014713
33,2.4758142478216203,2.475936957241946
34,2.40375709055207,2.515013012175662
35,2.404824095937958,2.4016333556495972
36,2.3666702695025448,2.5227611771732286
37,2.3586904271532583,2.412947096038233
38,2.3528924251116505,2.4177814619304767
39,2.3498719582178813,2.450696674460015
40,2.364713002788646,2.679731783489119
41,2.3621493129083877,2.4161672280924082
42,2.34730413340879,2.6229572501655354
43,2.309244436346243,2.306567480151904
44,2.2977488642167176,2.334065434822231
45,2.2844404571835666,2.3180410328586123
46,2.2848957228138955,2.35621481115211
47,2.2834565143754637,2.3226317829555936
48,2.2765445073079587,2.362109349150532
49,2.2782446232883724,2.3926694684202063
50,2.269875809047779,2.375987222198235
51,2.2580985107945857,2.247642670927442
52,2.2514148985678712,2.2525353135905815
53,2.244271380941733,2.299555506228688
54,2.24538981622331,2.2319460347569517
55,2.239987411905343,2.239484663442052
56,2.2334277615733082,2.2265589494995055
57,2.237297037946372,2.235286420533238
58,2.2417280255502963,2.215552387156769
59,2.238950667167145,2.2043859388439824
60,2.235651615439012,2.2045979100670694
61,2.2276523639975774,2.3485930657351144
62,2.222606338154899,2.292748397181862
63,2.219885411947294,2.354041862083895
64,2.2159645971567112,2.329127441547852
65,2.2135335136193315,2.2244931183231964
66,2.209070620714863,2.202603890281681
67,2.2068468395238803,2.1912417301326235
68,2.210499027328755,2.3873503056104703
69,2.202071611181963,2.2384152969556124
70,2.200238400059402,2.218054608616831
71,2.2065694176811474,2.3182886285929163
72,2.196577076222438,2.2274947129616884
73,2.1926822578814846,2.5682349077908033
74,2.193618504384137,2.3113477277589425
75,2.178650866568255,2.16652388387375
76,2.1736009715516857,2.1752976230798104
77,2.1700049677379902,2.1639432028032504
78,2.1665881609991207,2.1972419836655384
79,2.1701683761611115,2.161625486734083
80,2.1627360258590316,2.226407473159775
81,2.166394067998975,2.10482120935633
82,2.170598942622834,2.1570200098053878
83,2.1548223898273133,2.111635459675145
84,2.157136043291928,2.1186506173238864
85,2.159158613223311,2.1611475389753343
86,2.149885154864686,2.09864067116601
87,2.160232124369402,2.1047624603218265
88,2.1534748062096765,2.0927067828760495
89,2.144199948735213,2.1119751820352817
90,2.149194954178564,2.1050714114202926
91,2.148118515864939,2.2258517417256725
92,2.1492347174872104,2.3107939381829885
93,2.148115551222663,2.088519814303103
94,2.151064513211659,2.1031889594723827
95,2.1314954061142646,2.1367849043844704
96,2.137681891365572,2.10211907320493
97,2.137861870134871,2.2343356962161214
