epoch,loss,val_loss
0,9.366635407899555,7.632647076707962
1,7.446727205301971,7.271701111624831
2,7.08537027762311,6.970548957868423
3,6.8269922448211275,6.828817521510103
4,6.662501123898025,6.614127296443953
5,6.537704300412482,6.507169332917674
6,6.401465250559811,6.354622408948137
7,6.2747336903087145,6.290273566595285
8,6.16564655359008,6.182583785852985
9,6.072570045140244,6.055056612587831
10,5.978162932942532,5.951661066208304
11,5.882035909854361,5.904543837208503
12,5.825429574503042,5.796409053593414
13,5.741715890984124,5.75656090842353
14,5.7037978066128705,5.68340768538486
15,5.619873909711956,5.621066114114895
16,5.568065073669851,5.5479410643831795
17,5.497395163260335,5.5345933200948325
18,5.438657093299766,5.413869897940293
19,5.401364728284909,5.389169553054407
20,5.331862275285451,5.337415823487423
21,5.322058047710345,5.289103665040629
22,5.243422579572634,5.2804242401617225
23,5.21489788364031,5.218775708816749
24,5.163580114763207,5.226083217120967
25,5.1382061728506265,5.150750964924537
26,5.075829783937786,5.180823030552581
27,5.056497133586267,5.104145970460961
28,5.023650006022604,5.056133825266961
29,4.991174098742632,5.015907844501641
30,4.954223614566381,5.011925483260751
31,4.914294214781885,4.976748187089358
32,4.909354566800285,4.939637069150947
33,4.8475945952621675,4.957080526974407
34,4.857880040637027,4.917788719620108
35,4.809390051695609,4.9072821438461025
36,4.794102151893693,4.929850301756809
37,4.787469961020728,4.854410214036866
38,4.764242845381444,4.862754537385675
39,4.7339316423470565,4.794143167608819
40,4.721172812982654,4.759415772641899
41,4.680075555474534,4.750235396472149
42,4.706865961158824,4.74389436438598
43,4.679466544293972,4.736290078526655
44,4.63604531381737,4.698375027394734
45,4.596334719134895,4.709579036315401
46,4.579651261524224,4.731861509846762
47,4.5879340454943405,4.704957538893642
48,4.592415504716675,4.663938245549984
49,4.5479568182271874,4.644606860169856
50,4.527897233992898,4.623400366240968
51,4.528673740772648,4.6110008343809215
52,4.522214770297416,4.589201002971533
53,4.4791557875753885,4.613868604088875
54,4.4777320748250045,4.571542113826355
55,4.44628338284487,4.6244774004922435
56,4.441614398203398,4.565470476202782
57,4.446067690750995,4.555964961239635
58,4.427298815990072,4.527524749972539
59,4.4042957650539645,4.533146374963324
60,4.377525896477892,4.507170053994293
61,4.3922057522615345,4.501366226127864
62,4.354139867993681,4.498090007736366
63,4.3599859738967295,4.5339565488552065
64,4.352327660682196,4.470718985596996
65,4.354363010324072,4.477890043634054
66,4.325107849019797,4.450161380083571
67,4.321336843580887,4.442278538168397
68,4.2809014352618835,4.484263482590368
69,4.293551342766139,4.442235628763835
70,4.265903093939506,4.423846645858909
71,4.2642986260092774,4.417430205314267
72,4.232187300650137,4.416077650418968
73,4.240475330261552,4.3836620838771605
74,4.231169791420596,4.386553612049979
75,4.209984464376412,4.393597846608525
76,4.2357924780042655,4.408497146308036
77,4.208978002306929,4.362049288101082
78,4.144995364854974,4.389845416150285
79,4.178148828676662,4.352814163327752
80,4.1830949343688095,4.350118798406551
