epoch,loss,val_loss
0,3.9399595742225646,3.253444032437451
1,3.0883448374271394,2.967075801857011
2,2.8089132556915284,2.7519588697015664
3,2.605178388595581,2.732901545690776
4,2.4973560333251954,2.525235040096201
5,2.4154856382608414,2.5237737107293783
6,2.362647904396057,2.4191853473333222
7,2.3243274379968644,2.473759172997703
8,2.2843508057594297,2.352522101893624
9,2.2650152739286424,2.5394472226419698
10,2.232223218202591,2.4510143298468647
11,2.209436569452286,2.4863938057487287
12,2.2103446002006533,2.4666759810957024
13,2.050169781446457,2.2190546770754693
14,2.027096833348274,2.1995706362871594
15,2.0142884356975554,2.247812940753369
16,1.99105950152874,2.217436278296428
17,1.9865713294744491,2.1937491463704144
18,1.9621471327543258,2.2003456985745276
19,1.9724948377609253,2.20721349595881
20,1.9492721482515336,2.191778023943983
21,1.9543332905769348,2.2052551609422486
22,1.9565415818691254,2.2251995599542522
23,1.9349833996295929,2.183997414916564
24,1.9369828959703446,2.156396348755811
25,1.9325526975393295,2.211114519329966
26,1.924421857714653,2.180859720951486
27,1.9237682856321334,2.15365827805983
28,1.9161092678308487,2.2728665537273116
29,1.914199543595314,2.2875224162992005
